Restaurant Name,Restaurant ID,Address,Category,Price,Ratings,,,,,,,,,,,
CajunSea & Oyster Bar,r132,32 W 33rd St_New York_ NY 10001_,3; 4,2,4,,,,,,,,,,,
Caledonia UWS,r133,424 Amsterdam Ave_New York_ NY 10024_,5,2,4.5,,,,,,,,,,,
Calle Dao,r134,38 W 39th St_New York_ NY 10018_,17; 5; 4,2,4,,,,,,,,,,,
Cantina Taqueria & Tequila Bar,r135,329 Lenox_New York_ NY 10027_,11; 5,2,3,,,,,,,,,,,
Carma East,r136,507 E 6th St_New York_ NY 10009_,1,2,4,,,,,,,,,,,
Carmine's - Times Square,r137,200 W 44th St_New York_ NY 10036_,7,2,4,,,,,,,,,,4,691
Carroll Place,r138,157 Bleecker St_New York_ NY 10012_,5,2,4,,,,,,,,,,,
Casa Agave,r139,693 9th Ave_New York_ NY 10036_,11; 5,2,4,,,,,,,,,,,
Casa Enrique,r140,5-48 49th Ave_Long Island City_ NY 11101_,11,2,4,,,,,,,,,,,
Casa Nonna,r141,310 W 38th St_New York_ NY 10018_,7,3,4,,,,,,,,,,,
Casellula,r142,401 W 52nd St_New York_ NY 10019_,2,2,4,,,,,,,,,,,
Cask Bar & Kitchen,r143,167 E 33rd St_New York_ NY 10016_,2; 4,2,4,,,,,,,,,,,
CAVA,r144,143 4th Ave,8,2,4.5,,,,,,,,,,,
Caviar Russe,r145,538 Madison Ave_Fl 2_New York_ NY 10022_,3,4,4,,,,,,,,,,,
Characters NYC,r146,243 W 54th St_New York_ NY 10019_,0; 5,2,3.5,,,,,,,,,,,
Charlie Palmer Steak,r147,47 West 38th St_New York_ NY 10018_,2,4,4,,,,,,,,,,,
Chart House,r148,Lincoln Harbor Pier D-T_Lincoln Harbor_ Pier D-T_Weehawken_ NJ 07086_,3; 5,3,4,,,,,,,,,,,
Che Cafe,r149,86 E 7th St_New York_ NY 10003_,11,1,5,,,,,,,,,,,
Chef's Table at Brooklyn Fare,r150,431 W 37th St_New York_ NY 10018_,9,4,4.5,,,,,,,,,,,
Chefs Club,r151,275 Mulberry St_New York_ NY 10012_,2,3,4,,,,,,,,,,,
Chez Josephine,r152,414 W 42nd St_New York_ NY 10036_,6,3,4,,,,,,,,,,,
Chez Napoleon,r153,365 W 50th St_New York_ NY 10019_,6,3,4,,,,,,,,,,,
Chimichurri Grill East,r154,133 E 61st St_New York_ NY 10065_,15;,3,5,,,,,,,,,,,
Chipotle,r155,117 E 14th Street,11,2,3,,,,,,,,,,,
CHOCHIN,r156,310 E 93rd St_New York_ NY 10128_,9,2,4.5,,,,,,,,,,,
Chop Chop Grub Shop,r157,3507 Ditmars Blvd_Astoria_ NY 11105_,2,2,5,,,,,,,,,,,
Chouchou,r158,215 E 4th St_New York_ NY 10009_,8,3,4.5,,,,,,,,,,,
Chumley's,r159,86 Bedford St_New York_ NY 10014_,2,3,4,,,,,,,,,,,
Cibo E Vino,r160,2418 Broadway_New York_ NY 10024_,7,2,4,,,,,,,,,,,
Ciccio,r161,190 6th Ave_New York_ NY 10012_,7,2,4.5,,,,,,,,,,,
Cielo At the Mayfair,r162,242 W 49th St_New York_ NY 10019_,7,2,4,,,,,,,,,,,
Citizens of Chelsea,r163,401 W 25th St_New York_ NY 10001_,4,2,4,,,,,,,,,,,
CK14  The Crooked Knife,r164,232 W 14th St_New York_ NY 10011_,2,2,4,,,,,,,,,,,
Clancey,r165,79 Clinton St_New York_ NY 10002_,2; 5; 4,2,4.5,,,,,,,,,,,
Clay,r166,553 Manhattan Ave_New York_ NY 10027_,2; 5,3,4.5,,,,,,,,,,,
Clement,r167,700 Fifth Ave_New York_ NY 10019_,2;,3,4,,,,,,,,,,,
Clinton Hall,r168,90 Washington St_New York_ NY 10006_,5,2,4,,,,,,,,,,,
